1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
149.66,153.7701,149.64,150.77,150.329772674508,93339409.0,0.0,1.0
151.19,151.47,148.56,150.43,149.990765426983,96029909.0,0.0,1.0
152.38,154.47,150.91,152.74,152.294020549873,86264792.0,0.0,1.0
157.34,158.74,153.6,153.72,153.271159086857,101696790.0,0.0,1.0
153.4,158.08,153.08,156.9,156.441873931355,107689796.0,0.0,1.0
149.31,154.56,149.1,154.48,154.028939993089,81474246.0,0.0,1.0
151.21,151.35,148.37,150.7,150.259977064724,162278841.0,0.0,1.0
154.65,155.24,151.38,152.37,151.925100898155,90481110.0,0.0,1.0
154.785,157.1,153.6106,155.31,154.856516509106,87965409.0,0.0,1.0
159.9,160.54,153.37,153.84,153.39080870363,122656614.0,0.0,1.0
159.59,164.26,159.3,163.43,162.952807244113,104955962.0,0.0,1.0
155.47,157.82,154.75,157.37,156.910501597051,68081006.0,0.0,1.0
154.64,156.36,152.68,154.46,154.008998390294,84923847.0,0.0,1.0
154.825,156.67,153.61,155.96,155.504618599962,87449574.0,0.0,1.0
